Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae,,Oriental,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae (m),Acacia,India,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae (m),Acacia caesia,India,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae (m),Acacia nilotica,Pakistan,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae (m),Mimosa himalayana,Pakistan,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Atalantia,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Citrus,Oriental,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Citrus,Sri Lanka,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Citrus maxima,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Guttiferae,Garcinia xanthochymus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rubiaceae,Gardenia xanthochymus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Murraya koenigii,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Paramignya andamanica,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Tree Specialist,Rutaceae,Paramignya monophylla,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Gramineae,,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Asclepiadaceae,Calotropis,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Asclepiadaceae,Calotropis,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Asclepiadaceae,Calotropis gigantea,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Asclepiadaceae,Calotropis procera,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Malvaceae,Hibiscus,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Shrub Specialist,Malvaceae,Hibiscus,India,HOSTS
